activity_from,activity_to,transition_count,patient_count,avg_transition_time_minutes,min_transition_time_minutes,max_transition_time_minutes,median_transition_time_minutes,p90_transition_time_minutes,avg_source_wait_time_minutes,bottleneck_level,bottleneck_score
ICU Admission,ICU Admission,3,3,0.0,0,0,0,0,6.67,Low,1
Diagnosis,Diagnosis,86,86,0.0,0,0,0,0,13.53,Low,1
Waiting,Waiting,94,94,0.0,0,0,0,0,52.46,Low,1
Surgery,Surgery,4,4,0.0,0,0,0,0,7.75,Low,1
Billing,Billing,76,76,0.0,0,0,0,0,13.25,Low,1
Blood Test,Blood Test,24,24,0.0,0,0,0,0,15.46,Low,1
Registration,Registration,85,85,0.0,0,0,0,0,12.69,Low,1
Discharge,Discharge,91,91,0.0,0,0,0,0,14.31,Low,1
Urine Test,Urine Test,22,22,0.0,0,0,0,0,10.32,Low,1
ECG,ECG,13,13,0.0,0,0,0,0,14.23,Low,1
Pharmacy,Pharmacy,104,104,0.0,0,0,0,0,13.35,Low,1
MRI,MRI,27,27,0.0,0,0,0,0,74.38,Low,1
Patient Arrival,Patient Arrival,80,80,0.0,0,0,0,0,12.28,Low,1
X-Ray,X-Ray,8,8,0.0,0,0,0,0,15.13,Low,1
Ward Transfer,Ward Transfer,35,35,0.0,0,0,0,0,14.11,Low,1
Treatment,Treatment,115,115,0.0,0,0,0,0,13.27,Low,1
CT Scan,CT Scan,14,14,0.0,0,0,0,0,57.93,Low,1
Doctor Consultation,Doctor Consultation,170,168,0.0,0,0,0,0,14.28,Low,1
X-Ray,Doctor Consultation,495,495,30.94,7,55,31,43,13.51,Low,1
Diagnosis,Ward Transfer,1991,1991,31.01,7,55,31,44,13.37,Low,1
Urine Test,Doctor Consultation,837,809,30.51,7,55,31,44,13.51,Low,1
Billing,Discharge,4587,4587,30.93,7,55,31,45,13.68,Low,1
Treatment,Pharmacy,4587,4587,30.96,7,55,31,45,13.29,Low,1
Pharmacy,Billing,4587,4587,31.08,7,55,31,45,13.4,Low,1
Doctor Consultation,Diagnosis,4587,4587,30.96,7,55,31,45,13.58,Low,1
Blood Test,Doctor Consultation,871,835,31.21,7,55,31,45,13.57,Low,1
Patient Arrival,Registration,4587,4587,31.31,7,55,31,45,13.56,Low,1
CT Scan,Doctor Consultation,815,776,30.9,7,54,31,45,69.87,Low,1
Doctor Consultation,Urine Test,837,809,30.87,7,55,31,45,13.42,Low,1
Waiting,Doctor Consultation,4587,4587,31.24,7,55,31,45,55.06,Low,1
MRI,Doctor Consultation,829,793,30.77,7,55,31,46,68.37,Low,1
Doctor Consultation,Blood Test,871,835,31.52,7,55,31,47,13.51,Low,1
Doctor Consultation,X-Ray,495,495,31.0,8,54,31,45,13.43,Low,1
Doctor Consultation,ECG,538,538,31.54,8,54,32,46,13.74,Low,1
Surgery,Ward Transfer,18,18,31.22,8,51,32,47,15.5,Low,1
ECG,Doctor Consultation,538,538,30.75,9,54,31,45,13.73,Low,1
ICU Admission,Ward Transfer,100,100,29.99,9,55,30,45,14.27,Low,1
Registration,Waiting,4587,4587,72.51,25,119,73,101,13.73,Medium,2
Doctor Consultation,MRI,829,793,85.59,25,149,84,128,13.43,Medium,2
Doctor Consultation,CT Scan,815,776,87.59,27,148,88,129,13.9,Medium,2
Diagnosis,Treatment,2338,2338,88.34,32,145,88,126,13.4,Medium,2
Ward Transfer,Treatment,2109,2109,88.07,33,144,88,124,13.32,Medium,2
ICU Admission,Treatment,114,114,86.95,35,139,83,127,12.54,Medium,2
Surgery,Treatment,26,26,87.54,47,135,83,127,14.0,Medium,2
Diagnosis,Surgery,175,175,185.06,97,260,191,244,14.43,High,3
Diagnosis,ICU Admission,83,83,477.4,243,714,493,649,13.82,High,3
Surgery,ICU Admission,131,131,495.23,249,724,479,680,13.68,High,3
