Source_Activity,Target_Activity,Frequency
Billing,Discharge,2002
Doctor Consultation,Diagnosis,2002
Patient Arrival,Registration,2002
Registration,Waiting,2001
Waiting,Doctor Consultation,2001
Treatment,Pharmacy,2001
Pharmacy,Billing,2001
Diagnosis,Treatment,1292
Diagnosis,Ward Transfer,709
Ward Transfer,Treatment,709
Doctor Consultation,Urine Test,406
Urine Test,Doctor Consultation,406
Doctor Consultation,Blood Test,341
Blood Test,Doctor Consultation,341
ECG,Doctor Consultation,237
Doctor Consultation,ECG,237
X-Ray,Doctor Consultation,235
Doctor Consultation,X-Ray,235
Diagnosis,Billing,1
Registration,Doctor Consultation,1
